
========================================

    *** Synset Distribution ***

    big_game.n.01  pct_total=0.06|pct_this=0.06|total_hits=26|this_hits=26|below_hits=0|total_found=6|this_found=6|below_found=0|total_not_found=231|this_not_found=231|below_not_found=0
  fictional_animal.n.01  pct_total=0.00|pct_this=0.00|total_hits=0|this_hits=0|below_hits=0|total_found=0|this_found=0|below_found=0|total_not_found=237|this_not_found=237|below_not_found=0
  female.n.01  pct_total=6.79|pct_this=2.01|total_hits=70428|this_hits=34030|below_hits=36398|total_found=634|this_found=188|below_found=446|total_not_found=515|this_not_found=40|below_not_found=475
    hen.n.04  pct_total=1.57|pct_this=1.57|total_hits=7905|this_hits=7905|below_hits=0|total_found=147|this_found=147|below_found=0|total_not_found=81|this_not_found=81|below_not_found=0
    filly.n.01  pct_total=1.46|pct_this=1.46|total_hits=2978|this_hits=2978|below_hits=0|total_found=136|this_found=136|below_found=0|total_not_found=92|this_not_found=92|below_not_found=0
    female_mammal.n.01  pct_total=0.00|pct_this=0.00|total_hits=0|this_hits=0|below_hits=0|total_found=0|this_found=0|below_found=0|total_not_found=237|this_not_found=237|below_not_found=0
    dam.n.03  pct_total=1.74|pct_this=1.74|total_hits=25515|this_hits=25515|below_hits=0|total_found=163|this_found=163|below_found=0|total_not_found=65|this_not_found=65|below_not_found=0
  feeder.n.06  pct_total=1.54|pct_this=1.54|total_hits=8227|this_hits=8227|below_hits=0|total_found=144|this_found=144|below_found=0|total_not_found=84|this_not_found=84|below_not_found=0
  embryo.n.02  pct_total=1.50|pct_this=1.01|total_hits=2045|this_hits=1502|below_hits=543|total_found=140|this_found=94|below_found=46|total_not_found=1465|this_not_found=599|below_not_found=866
    morula.n.01  pct_total=0.29|pct_this=0.29|total_hits=355|this_hits=355|below_hits=0|total_found=27|this_found=27|below_found=0|total_not_found=201|this_not_found=201|below_not_found=0
    gastrula.n.01  pct_total=0.03|pct_this=0.03|total_hits=37|this_hits=37|below_hits=0|total_found=3|this_found=3|below_found=0|total_not_found=225|this_not_found=225|below_not_found=0
    blastula.n.01  pct_total=0.17|pct_this=0.17|total_hits=151|this_hits=151|below_hits=0|total_found=16|this_found=16|below_found=0|total_not_found=440|this_not_found=440|below_not_found=0
  domestic_animal.n.01  pct_total=8.31|pct_this=0.00|total_hits=225410|this_hits=0|below_hits=225410|total_found=776|this_found=0|below_found=776|total_not_found=2260|this_not_found=474|below_not_found=1786
    stray.n.01  pct_total=1.31|pct_this=1.31|total_hits=1964|this_hits=1964|below_hits=0|total_found=122|this_found=122|below_found=0|total_not_found=106|this_not_found=106|below_not_found=0
    stocker.n.01  pct_total=1.20|pct_this=1.20|total_hits=3799|this_hits=3799|below_hits=0|total_found=112|this_found=112|below_found=0|total_not_found=116|this_not_found=116|below_not_found=0
    head.n.02  pct_total=1.98|pct_this=1.98|total_hits=22201|this_hits=22201|below_hits=0|total_found=185|this_found=185|below_found=0|total_not_found=43|this_not_found=43|below_not_found=0
    feeder.n.01  pct_total=1.54|pct_this=1.54|total_hits=8227|this_hits=8227|below_hits=0|total_found=144|this_found=144|below_found=0|total_not_found=84|this_not_found=84|below_not_found=0
